query,id,document_snippet,metadata,score
How is an investigation started by police?,ch19_sec244,"Section Title : Evidence for prosecution , Section_description: When, in any warrant-case instituted otherwise than on a police report the accused appears or is brought before a Magistrate, the Magist","{'section': '244', 'chapter': '19', 'title': 'Evidence for prosecution'}",-8.494911
When can a magistrate take cognizance of an offence?,ch14_sec190,"Section Title : Cognizance of offences by Magistrates , Section_description: Subject to the provisions of this Chapter, any Magistrate of the first class, and any Magistrate of the second class specia","{'title': 'Cognizance of offences by Magistrates', 'chapter': '14', 'section': '190'}",8.306383
When can a magistrate take cognizance of an offence?,ch14_sec193,"Section Title : Cognizance of offences by Courts of Session , Section_description: Except as otherwise expressly provided by this Code or by any other law for the time being in force, no Court of Sess","{'title': 'Cognizance of offences by Courts of Session', 'section': '193', 'chapter': '14'}",6.0565977
When can a magistrate take cognizance of an offence?,ch14_sec198B,"Section Title : Cognizance of offence , Section_description: No Court shall take cognizance of an offence punishable under section 376B of the Indian Penal Code where the persons are in a marital rela","{'section': '198B', 'title': 'Cognizance of offence', 'chapter': '14'}",4.3012886
What is the process for issuing a summons?,ch6_sec69,"Section Title : Service of summons on witness by post , Section_description: Notwithstanding anything contained in the preceding section of this Chapter, a Court issuing a summons to a witness may, in","{'title': 'Service of summons on witness by post', 'section': '69', 'chapter': '6'}",4.3451467
What is the process for issuing a summons?,ch6_sec61,"Section Title : Form of summons , Section_description: Every summons issued by a Court under this Code shall be in writing, in duplicate, signed by the presiding officer of such Court or by such other","{'section': '61', 'chapter': '6', 'title': 'Form of summons'}",3.6484842
What is the process for issuing a summons?,ch6_sec62,"Section Title : Summons how served , Section_description: Every summons shall be served by a police officer, or subject to such rules as the State Government may make in this behalf, by an officer of ","{'chapter': '6', 'section': '62', 'title': 'Summons how served'}",2.8468788
What is the procedure for granting bail?,ch32_sec438,"Section Title : Direction for grant of bail to person apprehending arrest , Section_description: Where any person has reason to believe that he may be arrested on accusation of having committed a non-","{'title': 'Direction for grant of bail to person apprehending arrest', 'chapter': '32', 'section': '438'}",1.7640948
What is the procedure for granting bail?,ch32_sec439,"Section Title : Special powers of High Court or Court of Session regarding bail , Section_description: A High Court or Court of Session may direct— that any person accused of an offence and in custody","{'chapter': '32', 'section': '439', 'title': 'Special powers of High Court or Court of Session regarding bail'}",0.73460776
What is the procedure for granting bail?,ch32_sec441,"Section Title : Bond of accused and sureties , Section_description: Before any person is released on bail or released on his own bond, a bond for such sum of money as the police officer or Court, as t","{'title': 'Bond of accused and sureties', 'chapter': '32', 'section': '441'}",-2.6827877
When can a case be transferred to another court?,ch31_sec406,"Section Title : Power of Supreme Court to transfer cases and appeals , Section_description: Whenever it is made to appear to the Supreme Court that an order under this section is expedient for the end","{'section': '406', 'title': 'Power of Supreme Court to transfer cases and appeals', 'chapter': '31'}",5.903928
When can a case be transferred to another court?,ch14_sec191,"Section Title : Transfer on application of the accused , Section_description: When a Magistrate takes cognizance of an offence under clause c. of Sub-Section (1) of section 190, the accused shall, bef","{'chapter': '14', 'section': '191', 'title': 'Transfer on application of the accused'}",3.95215
When can a case be transferred to another court?,ch31_sec407,"Section Title : Power of High Court to transfer cases and appeals , Section_description: Whenever it is made to appear to the High Court— that a fair and impartial inquiry or trial cannot be had in an","{'chapter': '31', 'title': 'Power of High Court to transfer cases and appeals', 'section': '407'}",3.0200524
Who has the power to arrest without a warrant?,ch5_sec55,"Section Title : Procedure when police officer deputes subordinate to arrest without warrant , Section_description: When any officer in charge of a police station or any police officer making an invest","{'chapter': '5', 'section': '55', 'title': 'Procedure when police officer deputes subordinate to arrest without warrant'}",7.2691903
Who has the power to arrest without a warrant?,ch6_sec71,"Section Title : Power to direct security to be taken , Section_description: Any Court issuing a warrant for the arrest of any person may in its discretion direct by endorsement on the warrant that, if","{'title': 'Power to direct security to be taken', 'chapter': '6', 'section': '71'}",3.1531322
Who has the power to arrest without a warrant?,ch6_sec80,"Section Title : Procedure of arrest of person against whom warrant issued , Section_description: When a warrant of arrest is executed outside the district in which it was issued, the person arrested s","{'section': '80', 'chapter': '6', 'title': 'Procedure of arrest of person against whom warrant issued'}",1.6957759
When can a magistrate order an inquiry?,ch30_sec398,"Section Title : Power to order inquiry , Section_description: On examining any record under section 397 or otherwise, the High Court or the Sessions Judge may direct the Chief Judicial Magistrate by h","{'section': '398', 'chapter': '30', 'title': 'Power to order inquiry'}",5.4638286
When can a magistrate order an inquiry?,ch24_sec323,"Section Title : Procedure when, after commencement of inquiry or trial, Magistrate finds case should be committed , Section_description: If, in any inquiry into an offence or a trial before a Magistra","{'section': '323', 'title': 'Procedure when, after commencement of inquiry or trial, Magistrate finds case should be committed', 'chapter': '24'}",4.748185
When can a magistrate order an inquiry?,ch8_sec116,"Section Title : Inquiry as to truth of information , Section_description: When an order under section 111 has been read or explained under section 112 to a person in Court, or when any person appears ","{'title': 'Inquiry as to truth of information', 'chapter': '8', 'section': '116'}",4.5183945
What powers do Sessions Courts have under this Code?,ch30_sec400,"Section Title : Power of Additional Sessions Judge , Section_description: An Additional Sessions Judge shall have and may exercise all the powers of a Sessions Judge under this Chapter in respect of a","{'title': 'Power of Additional Sessions Judge', 'section': '400', 'chapter': '30'}",4.730947
What powers do Sessions Courts have under this Code?,ch30_sec399,"Section Title : Sessions Judge's powers of revision , Section_description: In the case of any proceeding the record of which has been called for by himself the Sessions Judge may exercise all or any o","{'title': ""Sessions Judge's powers of revision"", 'chapter': '30', 'section': '399'}",4.1284604
What powers do Sessions Courts have under this Code?,ch21_sec265H,"Section Title : Power of the Court in plea bargaining , Section_description: A Court shall have, for the purposes of discharging its functions under this Chapter, all the powers vested in respect of b","{'title': 'Power of the Court in plea bargaining', 'chapter': '21', 'section': '265H'}",2.4779854
What is the power of police to search a place?,ch12_sec165,"Section Title : Search by police officer , Section_description: Whenever an officer in charge of police station or a police officer making an investigation has reasonable grounds for believing that an","{'section': '165', 'chapter': '12', 'title': 'Search by police officer'}",2.2244601
What is the power of police to search a place?,ch12_sec166,"Section Title : When officer in charge of police station may require another to issue search-warrant , Section_description: An officer in charge of a police station or a police officer not being below","{'title': 'When officer in charge of police station may require another to issue search-warrant', 'section': '166', 'chapter': '12'}",0.3289429
What is the power of police to search a place?,ch7_sec94,"Section Title : Search of place suspected to contain stolen property, forged documents, etc. , Section_description: If a District Magistrate, Sub-divisional Magistrate or Magistrate of the first class","{'section': '94', 'title': 'Search of place suspected to contain stolen property, forged documents, etc.', 'chapter': '7'}",-1.2821221
Who can order the release of an accused on bail?,ch32_sec436,"Section Title : In what cases bail to be taken , Section_description: When any person other than a person accused of a non-bailable offence is arrested or detained without warrant by an officer in cha","{'chapter': '32', 'title': 'In what cases bail to be taken', 'section': '436'}",3.0822508
Who can order the release of an accused on bail?,ch32_sec438,"Section Title : Direction for grant of bail to person apprehending arrest , Section_description: Where any person has reason to believe that he may be arrested on accusation of having committed a non-","{'title': 'Direction for grant of bail to person apprehending arrest', 'section': '438', 'chapter': '32'}",2.912048
Who can order the release of an accused on bail?,ch6_sec81,"Section Title : Procedure by Magistrate before whom such person arrested is brought , Section_description: The Executive Magistrate or District Superintendent of Police or Commissioner of Police shall","{'title': 'Procedure by Magistrate before whom such person arrested is brought', 'section': '81', 'chapter': '6'}",-0.8060636
What happens if a complaint is made against a husband by his wife under section 376B?,ch14_sec198,"Section Title : Prosecution for offences against marriage , Section_description: No Court shall take cognizance of an offence punishable under Chapter XX of the Indian Penal Code (45 of 1860) except u","{'title': 'Prosecution for offences against marriage', 'section': '198', 'chapter': '14'}",2.128982
What happens if a complaint is made against a husband by his wife under section 376B?,ch26_sec341,"Section Title : Appeal , Section_description: Any person on whose application any Court other than a High Court has refused to make a complaint under Sub-Section (1) or Sub-Section (2) of section 340,","{'chapter': '26', 'section': '341', 'title': 'Appeal'}",-2.4472115
What happens if a complaint is made against a husband by his wife under section 376B?,ch15_sec200,"Section Title : Examination of complainant , Section_description: A Magistrate taking cognizance of an offence on complaint shall examine upon oath the complainant and the witnesses present, if any, a","{'chapter': '15', 'title': 'Examination of complainant', 'section': '200'}",-3.8360677
Can a private citizen make an arrest?,ch5_sec43,"Section Title : Arrest by private person and procedure on such arrest , Section_description: Any private person may arrest or cause to be arrested any person who in his presence commits a non-bailable","{'section': '43', 'chapter': '5', 'title': 'Arrest by private person and procedure on such arrest'}",5.9413013
Can a private citizen make an arrest?,ch5_sec44,"Section Title : Arrest by Magistrate , Section_description: When any offence is committed in the presence of a Magistrate, whether Executive or Judicial, within his local jurisdiction, he may himself ","{'chapter': '5', 'section': '44', 'title': 'Arrest by Magistrate'}",-4.947296
Can a private citizen make an arrest?,ch5_sec50,"Section Title : Person arrested to be informed of grounds of arrest and of right to bail , Section_description: Every police officer or other person arresting any person without warrant shall forthwit","{'section': '50', 'title': 'Person arrested to be informed of grounds of arrest and of right to bail', 'chapter': '5'}",-5.0633307
When does a trial become invalid?,ch35_sec465,"Section Title : Finding or sentence when reversible by reason of error, omission or irregularity , Section_description: Subject to the provisions hereinbefore contained, on finding sentence or order p","{'chapter': '35', 'title': 'Finding or sentence when reversible by reason of error, omission or irregularity', 'section': '465'}",-6.090711
When does a trial become invalid?,ch21_sec262,"Section Title : Procedure for summary trials , Section_description: In trial under this Chapter, the procedure specified in this Code for the trial of summons-case shall be followed except as hereinaf","{'section': '262', 'title': 'Procedure for summary trials', 'chapter': '21'}",-7.374097
When does a trial become invalid?,ch18_sec230,"Section Title : Date for prosecution evidence , Section_description: If the accused refuses to plead, or does not plead, or claims to be tried or is not convicted under section 229, the Judge shall fi","{'chapter': '18', 'title': 'Date for prosecution evidence', 'section': '230'}",-8.604463
What is the difference between inquiry and investigation?,ch16_sec210,"Section Title : Procedure to be followed when there is a complaint case and police investigation in respect of the same offence , Section_description: When in a case instituted otherwise than on a pol","{'title': 'Procedure to be followed when there is a complaint case and police investigation in respect of the same offence', 'chapter': '16', 'section': '210'}",-2.3799925
What is the difference between inquiry and investigation?,ch12_sec176,"Section Title : Inquiry by Magistrate into cause of death , Section_description: When any person dies while in the custody of the police or when the case is of the nature referred to in clause (i) or ","{'section': '176', 'title': 'Inquiry by Magistrate into cause of death', 'chapter': '12'}",-2.410298
What is the difference between inquiry and investigation?,ch12_sec157,"Section Title : Procedure for investigation , Section_description: If, from information received or otherwise, an officer in charge of a police station has reason to suspect the commission of an offen","{'title': 'Procedure for investigation', 'section': '157', 'chapter': '12'}",-4.002769
Explain the procedure for recording confessions by magistrate.,ch12_sec164,"Section Title : Recording of confessions and statements , Section_description: Any Metropolitan Magistrate or Judicial Magistrate may, whether or not he has jurisdiction in the case, record any confes","{'chapter': '12', 'section': '164', 'title': 'Recording of confessions and statements'}",6.401102
Explain the procedure for recording confessions by magistrate.,ch19_sec246,"Section Title : Procedure where accused is not discharged , Section_description: If, when such evidence has been taken, or at any previous stage of the case, the Magistrate is of opinion that there is","{'title': 'Procedure where accused is not discharged', 'section': '246', 'chapter': '19'}",0.8258283
Explain the procedure for recording confessions by magistrate.,ch23_sec281,"Section Title : Record of examination of accused , Section_description: Whenever the accused is examined by a Metropolitan Magistrate, the Magistrate shall make a memorandum of the substance of the ex","{'chapter': '23', 'title': 'Record of examination of accused', 'section': '281'}",0.8227546
